0,1,2,3,4,5,6,7,8
,,,,,,,,
,,AART 2019-1,AART 2019-1,,,AART 2024-2,AART 2024-2,
Weighted Average APR,,,6.93,%,,,9.89,%
Aggregate Amount Financed,,$,1119999920.35,,,$,1114879158.52,
Number of Contracts in Pool,,,66201,,,,61802,
Average Amount Financed,,$,16918.17,,,$,18039.53,
Weighted Average Original Maturity (in Months),,,66.13,,,,71.03,
Weighted Average Remaining Maturity (in Months),,,56.69,,,,54.11,
Percentage of Receivables with Original Maturities > 60 Months,,,67.96,%,,,79.46,%
Percentage of New Vehicles,,,70.33,%,,,40.34,%
Percentage of Non-Subvented Receivables,,,99.71,%,,,99.96,%
Weighted Average FICO Score,,,735.05,,,,734.76,
Weighted Average Loan-to-Value,,,93.39,,,,94.29,
Cutoff Date,,,"January 1, 2019",,,,"August 1, 2024",
