0,1,2,3,4,5,6,7,8,9
Portfolio Summary,Portfolio Summary,Portfolio Summary,Portfolio Summary,Portfolio Summary,Portfolio Summary,Portfolio Summary,Portfolio Summary,Portfolio Summary,Portfolio Summary
"Property Name  City,  State",Property  Subtype,Year  Built / Renovated,Occupancy %(1),SF(1),Allocated  Mortgage Loan Cut-off Date Balance,%  of Allocated Mortgage Loan Cut-off Date Balance,Appraised  Value,%  of Appraised Value,UW  NCF
"The Home Depot Detroit, MI",Single Tenant,1998/2002,100.0%,139056,"$4,592,156",8.3%,"$22,300,000",9.6%,"$1,096,340"
"Westown Square Cleveland, OH",Anchored,1988/2013,96.7%,176761,"$3,984,063",7.2%,"$15,600,000",6.7%,"$1,504,917"
"Rodney Village Shopping Center Dover, DE",Anchored,1960/2004,95.2%,213468,"$3,576,719",6.5%,"$14,000,000",6.0%,"$1,309,421"
"Mattatuck Plaza Waterbury, CT",Anchored,"1978,1979, 2003/2009",88.2%,147010,"$3,264,594",5.9%,"$13,700,000",5.9%,"$1,043,761"
"Athens Town Center  Athens, AL",Anchored,1988/NAP,98.8%,209124,"$3,240,875",5.9%,"$13,600,000",5.9%,"$1,120,113"
"Northeast Plaza Greensboro, NC",Anchored,1959/2000,97.7%,111296,"$3,008,500",5.5%,"$12,625,000",5.5%,"$922,156"
"Hungarybrook Shopping Center Henrico, VA",Anchored,1988/NAP,100.0%,87190,"$2,788,156",5.1%,"$11,700,000",5.1%,"$791,960"
"Plaza North Shopping Center  Terre Haute, IN",Anchored,1966/1997,62.0%,261418,"$2,780,250",5.1%,"$12,100,000",5.2%,"$635,700"
"Henderson Marketplace  Henderson, NC",Anchored,1991/1994,100.0%,89100,"$2,389,063",4.3%,"$10,025,000",4.3%,"$825,538"
"Ahoskie Commons Ahoskie, NC",Anchored,1987/NAP,99.2%,193653,"$2,382,875",4.3%,"$10,000,000",4.3%,"$692,985"
"Cummings Park Plaza  Burlington, NC",Anchored,1963/NAP,79.7%,200253,"$2,251,906",4.1%,"$9,450,000",4.1%,"$551,167"
"Glenwood Shopping Plaza  Oneida, NY",Anchored,1989/NAP,77.1%,218861,"$2,168,375",3.9%,"$9,100,000",3.9%,"$691,031"
"Boulevard Plaza  Wilson, NC",Anchored,1988/NAP,87.4%,108568,"$1,930,156",3.5%,"$8,100,000",3.5%,"$568,578"
"Summer Commons Memphis, TN",Anchored,1974/2008,68.3%,139785,"$1,906,438",3.5%,"$8,000,000",3.5%,"$570,013"
"Centre Plaza  Clinton, TN",Anchored,1989/NAP,91.1%,101642,"$1,830,125",3.3%,"$7,175,000",3.1%,"$621,660"
"Market at Riverdale Bend  Memphis, TN",Anchored,"1998, 2003/NAP",100.0%,157695,"$1,532,781",2.8%,"$6,000,000",2.6%,"$496,071"
"Cordele Corners  Cordele, GA",Anchored,1986/NAP,91.1%,120868,"$1,501,156",2.7%,"$6,300,000",2.7%,"$493,582"
"Anniston Plaza  Anniston, AL",Anchored,1965/NAP,88.0%,129565,"$1,465,406",2.7%,"$6,150,000",2.7%,"$453,764"
"Meeting Square Jefferson City, TN",Anchored,1984/NAP,100.0%,94345,"$1,461,969",2.7%,"$5,775,000",2.5%,"$532,219"
"Northland Plaza Lima, OH",Anchored,1960/2003,68.1%,170037,"$1,441,000",2.6%,"$5,650,000",2.4%,"$335,293"
"Homosassa Square  Homosassa Springs, FL",Anchored,1981/NAP,100.0%,84765,"$1,310,719",2.4%,"$5,500,000",2.4%,"$416,529"
"Laurens Plaza Laurens, SC",Anchored,1989/NAP,100.0%,97946,"$1,298,688",2.4%,"$5,450,000",2.4%,"$433,747"
"Pelham Plaza Jacksonville, AL",Anchored,1974/NAP,85.3%,72430,"$1,191,438",2.2%,"$5,000,000",2.2%,"$353,897"
"Plank Plaza Baton Rouge, LA",Anchored,1967/NAP,100.0%,62280,"$880,344",1.6%,"$4,750,000",2.1%,"$239,068"
"Collins Plaza  Plant City, FL",Anchored,1989/NAP,92.9%,37458,"$822,250",1.5%,"$3,450,000",1.5%,"$217,490"
Total/Wtd. Avg,,,88.6%,3424574,"$55,000,000",100.0%,"$239,000,000(2)",100.0%,"17,117,002(3)"
