0,1,2
Soudry NYC Multifamily Portfolio Appraised Value(1),Soudry NYC Multifamily Portfolio Appraised Value(1),Soudry NYC Multifamily Portfolio Appraised Value(1)
Property,Value,Capitalization Rate
9 & 11 Stanton Street,"$20,200,000",5.50%
210 Rivington Street,"$16,700,000",5.50%
19 Stanton Street,"$11,100,000",5.50%
76 East 1st Street,"$10,600,000",5.75%
120 Orchard Street,"$10,200,000",5.50%
624 East 11th Street,"$9,500,000",5.25%
203 Chrystie Street,"$8,600,000",5.50%
244 East Houston Street,"$8,100,000",5.75%
15 Stanton Street,"$8,600,000",5.50%
126 East 7th Street,"$6,900,000",5.75%
2848 Brighton 7th Street,"$6,100,000",6.25%
17 Stanton Street,"$4,400,000",5.50%
1111 Flatbush Avenue,"$2,700,000",6.25%
Total / Wtd. Avg.,"$123,700,000",5.59%
