0,1,2,3,4,5,6
Payment Date,0%,50%,75%,100%,150%,200%
Closing Date,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
November 2024,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
December 2024,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
January 2025,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
February 2025,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
March 2025,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
April 2025,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
May 2025,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
June 2025,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
July 2025,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
August 2025,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
September 2025,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
October 2025,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
November 2025,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
December 2025,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
January 2026,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
February 2026,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
March 2026,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
April 2026,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
May 2026,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
June 2026,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
July 2026,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
August 2026,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
September 2026,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
October 2026,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
November 2026,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
December 2026,100.00%,100.00%,100.00%,100.00%,100.00%,78.18%
January 2027,100.00%,100.00%,100.00%,100.00%,86.35%,22.64%
February 2027,100.00%,100.00%,100.00%,86.91%,40.04%,0.00%
March 2027,100.00%,75.82%,59.34%,41.57%,0.41%,0.00%
April 2027,49.57%,24.14%,10.21%,0.00%,0.00%,0.00%
May 2027,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
,,,,,,
Weighted Average Life to Maturity (years)(2),2.59,2.55,2.52,2.49,2.41,2.30
Weighted Average Life to Call (years)(2)(3),2.59,2.55,2.52,2.49,2.41,2.30
