0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
,,,,,,,,,,,,,,,,,,
,,SDART 2024-1,,SDART 2023-6,,SDART 2023-5,,SDART 2023-4,,SDART 2023-3,,SDART 2023-2,,SDART 2023-1,,SDART 2022-7,,SDART 2022-6
Current Principal Balance (% of Aggregate Principal Balance),,,,,,,,,,,,,,,,,,
"$0.01 - $5,000.00",,0.93%,,0.92%,,0.57%,,0.21%,,0.44%,,0.71%,,0.85%,,0.93%,,0.20%
"$5,000.01 - $10,000.00",,4.01%,,3.39%,,2.43%,,1.16%,,2.56%,,3.74%,,4.93%,,4.76%,,1.09%
"$10,000.01 - $15,000.00",,6.21%,,5.43%,,4.74%,,3.91%,,5.36%,,6.24%,,6.90%,,6.69%,,3.41%
"$15,000.01 - $20,000.00",,11.35%,,10.49%,,10.04%,,9.44%,,10.23%,,11.71%,,10.90%,,10.18%,,8.89%
"$20,000.01 - $25,000.00",,16.83%,,16.49%,,16.27%,,15.68%,,16.04%,,16.79%,,15.57%,,15.27%,,16.16%
"$25,000.01 - $30,000.00",,16.59%,,17.46%,,17.01%,,17.55%,,17.21%,,16.53%,,16.71%,,16.97%,,19.34%
"$30,000.01 - $35,000.00",,13.51%,,14.27%,,14.69%,,15.76%,,14.24%,,14.49%,,15.37%,,15.15%,,17.35%
"$35,000.01 - $40,000.00",,9.59%,,10.55%,,10.51%,,11.41%,,10.67%,,10.22%,,11.37%,,11.27%,,13.31%
"$40,000.01 - $45,000.00",,5.94%,,6.49%,,6.84%,,7.08%,,6.71%,,5.98%,,5.74%,,6.06%,,7.54%
"$45,000.01 - $50,000.00",,4.90%,,4.70%,,4.95%,,5.36%,,4.80%,,3.96%,,3.21%,,3.40%,,4.05%
"$50,000.01 and greater",,10.16%,,9.82%,,11.94%,,12.43%,,11.73%,,9.63%,,8.44%,,9.31%,,8.67%
,,,,,,,,,,,,,,,,,,
Original Mileage (% of Aggregate Principal Balance),,,,,,,,,,,,,,,,,,
"0 - 5,000",,31.62%,,31.05%,,32.27%,,35.42%,,30.19%,,30.27%,,31.70%,,30.02%,,25.25%
"5,001 - 10,000",,2.09%,,2.30%,,2.29%,,2.23%,,2.32%,,2.38%,,2.43%,,2.23%,,2.66%
"10,001 - 15,000",,2.57%,,2.82%,,2.76%,,2.62%,,2.77%,,2.72%,,2.81%,,2.90%,,3.47%
"15,001 - 20,000",,3.17%,,3.38%,,3.26%,,3.26%,,3.52%,,3.49%,,3.64%,,3.56%,,4.24%
"20,001 - 25,000",,3.84%,,3.97%,,3.89%,,3.54%,,4.13%,,4.11%,,4.00%,,4.25%,,4.91%
"25,001 - 30,000",,4.31%,,4.53%,,4.46%,,3.95%,,4.51%,,4.36%,,4.45%,,4.27%,,5.21%
"30,001 - 35,000",,4.87%,,4.94%,,4.67%,,4.23%,,4.66%,,4.44%,,4.84%,,4.80%,,5.26%
"35,001 - 40,000",,4.80%,,4.79%,,4.62%,,4.21%,,4.59%,,4.69%,,4.61%,,4.82%,,5.02%
"40,001 - 45,000",,4.73%,,4.88%,,4.50%,,4.15%,,4.62%,,4.77%,,5.00%,,4.73%,,4.93%
"45,001 - 50,000",,4.40%,,4.43%,,4.14%,,3.98%,,4.52%,,4.42%,,4.52%,,4.85%,,5.06%
"50,001 and above",,33.61%,,32.91%,,33.14%,,32.42%,,34.17%,,34.34%,,32.00%,,33.58%,,33.98%
,,,,,,,,,,,,,,,,,,
Loan Funded Score (% of Aggregate Principal Balance)(11),,,,,,,,,,,,,,,,,,
450 and lower,,6.53%,,2.81%,,2.13%,,4.32%,,1.84%,,2.04%,,6.66%,,5.76%,,9.36%
451 - 500,,23.21%,,30.24%,,28.05%,,28.41%,,26.87%,,24.63%,,24.08%,,24.88%,,22.42%
501 - 550,,33.95%,,32.86%,,35.90%,,32.01%,,37.74%,,39.47%,,32.97%,,35.70%,,31.80%
551 - 600,,22.36%,,20.28%,,21.07%,,20.36%,,21.33%,,21.57%,,21.29%,,19.42%,,19.53%
601 - 650,,8.93%,,8.99%,,8.60%,,9.54%,,8.28%,,8.60%,,9.96%,,8.97%,,10.05%
651 - 700,,3.44%,,3.20%,,3.02%,,3.43%,,2.71%,,2.64%,,3.34%,,3.21%,,3.91%
701 - 750,,1.20%,,1.20%,,0.90%,,1.19%,,0.83%,,0.80%,,1.12%,,1.31%,,1.76%
751+,,0.38%,,0.42%,,0.34%,,0.74%,,0.40%,,0.26%,,0.58%,,0.75%,,1.16%
