0,1,2,3,4,5,6,7,8
,,Principal  Amount(1),Principal  Amount(1),,,Principal  Amount(2),Principal  Amount(2),
Class A-1  notes,,$,254170000.00,,,$,305000000.00,
Class A-2a  notes  Class A-2b  notes,,},466670000.00,,,},560000000.00,
Class A-3  notes,,,466660000.00,,,,560000000.00,
Class A-4  notes,,,62500000.00,,,,75000000.00,
Class B  notes,,,39450000.00,,,,47350000.00,
Class C  notes,,,26300000.00,,,,31560000.00,
Residual  Interest — Initial Overcollateralization,,,97860965.32,,,,117773364.30,
Subtotal  — Initial Pool Balance,,$,1413610965.32,,,$,1696683364.30,
Reserve  Account,,,3289389.96,,,,3947285.02,
Total,,$,1416900355.28,,,$,1700630649.32,
