0,1,2,3,4,5,6,7,8
,,,,,,,,
,,AART 2019-3,AART 2019-3,,,AART 2024-2,AART 2024-2,
Weighted Average APR,,,7.00,%,,,9.89,%
Aggregate Amount Financed,,$,1120998466.76,,,$,1114879158.52,
Number of Contracts in Pool,,,67198,,,,61802,
Average Amount Financed,,$,16682.02,,,$,18039.53,
Weighted Average Original Maturity (in Months),,,66.15,,,,71.03,
Weighted Average Remaining Maturity (in Months),,,56.63,,,,54.11,
Percentage of Receivables with Original Maturities > 60 Months,,,67.02,%,,,79.46,%
Percentage of New Vehicles,,,70.00,%,,,40.34,%
Percentage of Non-Subvented Receivables,,,99.59,%,,,99.96,%
Weighted Average FICO Score,,,736.72,,,,734.76,
Weighted Average Loan-to-Value,,,93.49,,,,94.29,
Cutoff Date,,,"August 1, 2019",,,,"August 1, 2024",
