0,1,2,3,4,5,6,7
Sales  Summary(1),Sales  Summary(1),Sales  Summary(1),Sales  Summary(1),Sales  Summary(1),Sales  Summary(1),Sales  Summary(1),Sales  Summary(1)
,2019  Sales (PSF),2020  Sales (PSF),2021  Sales (PSF),2022  Sales (PSF),2023  Sales (PSF),2024  Sales (PSF),TTM  8/31/2025 Sales (PSF)
Under Armour,$909.87,$710.66,$922.45,$770.27,$776.41,$790.87,$755.64
Old Navy,$263.30,$248.36,$296.67,$226.38,$233.40,$236.19,$234.62
Lee Wrangler,$163.89,$114.94,NAV,$90.64,$92.91,$95.20,$96.79
Nike Factory Store,$957.78,$767.34,$979.05,"$1,078.35","$1,186.88","$1,226.46","$1,219.89"
Gap Outlet,$209.15,$154.65,$229.45,$181.62,$201.78,$211.84,$204.77
Polo Ralph Lauren,$321.53,$247.09,$330.83,$254.77,$252.41,$240.89,$238.11
Shoe Dept. Encore,NAV,$104.99,$160.51,$162.57,$129.85,$156.62,$131.18
Goodwill,NAV,NAV,NAV,$83.43,$162.46,$156.52,$150.33
Pottery Barn,$198.60,$143.67,$179.93,$164.76,$141.62,$123.15,$120.52
BRIDAL By Viper Apparel,$74.27,$58.22,$75.16,$77.38,$78.76,$78.87,$78.83
