0,1,2,3,4,5,6,7
Mortgage  Loan Information,Mortgage  Loan Information,Mortgage  Loan Information,Mortgage  Loan Information,Mortgage  Loan Information,,Property  Information,Property  Information
Mortgage Loan Seller:,Mortgage Loan Seller:,AREF2,AREF2,AREF2,,Single Asset/Portfolio:,Portfolio
,,,,,,Location(3):,"Various, Various"
Original Balance(1):,Original Balance(1):,"$52,166,000","$52,166,000","$52,166,000",,General Property Type:,Industrial
Cut-off Date Balance(1):,Cut-off Date Balance(1):,"$52,166,000","$52,166,000","$52,166,000",,Detailed Property Type(3),Various
% of Initial Pool Balance:,% of Initial Pool Balance:,6.8%,6.8%,6.8%,,Title Vesting:,Fee
Loan Purpose:,Loan Purpose:,Refinance,Refinance,Refinance,,Year Built/Renovated(3):,Various/Various
Borrower Sponsors:,Borrower Sponsors:,"Jeffery Rhett Wiseman, Thomas J. O'Brien and Rodney L. Provience","Jeffery Rhett Wiseman, Thomas J. O'Brien and Rodney L. Provience","Jeffery Rhett Wiseman, Thomas J. O'Brien and Rodney L. Provience",,Size:,"1,128,397 SF"
Guarantors:,Guarantors:,"Jeffery Rhett Wiseman, Thomas J. O'Brien and Rodney L. Provience","Jeffery Rhett Wiseman, Thomas J. O'Brien and Rodney L. Provience","Jeffery Rhett Wiseman, Thomas J. O'Brien and Rodney L. Provience",,Cut-off Date Balance PSF:,$46
Mortgage Rate(1):,Mortgage Rate(1):,6.47500%,6.47500%,6.47500%,,Maturity Balance PSF:,$46
Note Date:,Note Date:,10/3/2025,10/3/2025,10/3/2025,,Property Manager:,Momentum Commercial Management LLC (borrower-related)
Maturity Date:,Maturity Date:,10/6/2030,10/6/2030,10/6/2030,,,Momentum Commercial Management LLC (borrower-related)
Term to Maturity:,Term to Maturity:,60 months,60 months,60 months,,Underwriting  and Financial Information,Underwriting  and Financial Information
Amortization Term:,Amortization Term:,0 months,0 months,0 months,,UW NOI:,"$4,625,889"
IO Period:,IO Period:,60 months,60 months,60 months,,UW NCF,"$4,140,678"
Seasoning:,Seasoning:,5 months,5 months,5 months,,UW NOI Debt Yield:,8.9%
Prepayment Provisions:,Prepayment Provisions:,"L(29),D(24),O(7)","L(29),D(24),O(7)","L(29),D(24),O(7)",,UW NCF Debt Yield:,7.9%
Lockbox/Cash Mgmt Status:,Lockbox/Cash Mgmt Status:,Hard/Springing,Hard/Springing,Hard/Springing,,UW NOI Debt Yield at Maturity:,8.9%
Additional Debt Type:,Additional Debt Type:,NAP,NAP,NAP,,UW NCF DSCR:,1.21x
Additional Debt Balance:,Additional Debt Balance:,NAP,NAP,NAP,,Most Recent NOI:,"$4,818,051 (5/31/2025 TTM)"
Future Debt Permitted (Type):,Future Debt Permitted (Type):,No (NAP),No (NAP),No (NAP),,2nd Most Recent NOI:,"$4,708,000 (12/31/2024)"
Reserves(2),Reserves(2),Reserves(2),Reserves(2),Reserves(2),,3rd Most Recent NOI:,"$4,460,460 (12/31/2023)"
Type,Initial,Initial,Monthly,Cap,,Most Recent Occupancy:,100.0% (7/15/2025)
RE Taxes:,"$157,171","$157,171","$28,577",NAP,,2nd Most Recent Occupancy:,100.0% (12/31/2024)
Insurance:,"$23,958","$23,958","$2,662",NAP,,3rd Most Recent Occupancy:,100.0% (12/31/2023)
Immediate Repairs:,"$280,801","$280,801",$0,NAP,,Appraised Value (as of):,"$72,820,000 (Various)"
Replacement Reserve:,$0,$0,"$16,926",NAP,,Appraised Value per SF:,$65
TI/LC Reserve:,$0,$0,"$23,508",NAP,,Cut-off Date LTV Ratio:,71.6%
Liquidity Reserve:,"$250,000","$250,000",$0,NAP,,Maturity Date LTV Ratio:,71.6%
,,,,,,,
