0,1,2,3,4,5,6
Cash  Flow Analysis,Cash  Flow Analysis,Cash  Flow Analysis,Cash  Flow Analysis,Cash  Flow Analysis,Cash  Flow Analysis,Cash  Flow Analysis
,2022(1),2023(1),2024(1),6/30/2025  TTM,UW,UW  PSF
Base Rent,"$23,984,661","$22,397,820","$21,553,882","$22,542,673","$28,347,985(2)",$24.56
Vacancy,$0,$0,$0,$0,"($5,154,318)(3)",($4.47)
Total Base Rent,"$23,984,661","$22,397,820","$21,553,882","$22,542,673","$23,193,667",$20.09
Free Rent Adjustment,"($625,549)","($1,126,550)","($1,220,397)","($1,459,805)",$0,$0.00
Net Rental Income,"$23,359,112","$21,271,270","$20,333,484","$21,082,868","$23,193,667",$20.09
Total Recoveries,"$8,740,508","$8,738,054","$9,067,517","$10,292,638","$10,528,606",$9.12
Other Income,"$664,441","$588,550","$615,924","$542,449","$833,623",$0.72
Effective Gross Income,"$32,764,061","$30,597,874","$30,016,925","$31,917,955","$34,555,896",$29.94
,,,,,,
Real Estate Taxes,"$1,605,907","$1,742,934","$1,623,528","$1,597,484","$1,599,925",$1.39
Insurance,"$262,208","$398,103","$384,906","$426,902","$392,415",$0.34
Management Fee,"$1,060,519","$971,830","$962,879","$1,020,888","$1,123,067",$0.97
Other Operating Expenses,"$5,629,807","$6,891,943","$6,912,017","$7,553,044","$7,553,044",$6.54
Total Expenses,"$8,558,440","$10,004,810","$9,883,330","$10,598,318","$10,668,450",$9.24
,,,,,,
Net Operating Income,"$24,205,621(4)","$20,593,064(4)","$20,133,595","$21,319,637(5)","$23,887,446(5)",$20.70
Capital Expenses,$0,$0,$0,$0,"$247,246",$0.21
TI/LC,$0,$0,$0,$0,"$1,154,250",$1.00
Net Cash Flow,"$24,205,621","$20,593,064","$20,133,595","$21,319,637","$22,485,950",$19.48
,,,,,,
Occupancy (%),88.0%,81.0%,79.0%,80.9%(3),81.8%(3),
NOI DSCR(6),3.19x,2.71x,2.65x,2.81x,3.14x,
NCF DSCR(6),3.19x,2.71x,2.65x,2.81x,2.96x,
NOI Debt Yield(6),17.9%,15.3%,14.9%,15.8%,17.7%,
NCF Debt Yield(6),17.9%,15.3%,14.9%,15.8%,16.7%,
