0,1,2
,,
Series 2022-1,Series 2022-1,Series 2022-1
Initial Invested Amount,,"$1,428,574,000"
Class A Initial Invested Amount,,"$1,250,000,000"
Class A Certificate Rate,,2.21% per year
Class B Initial Invested Amount,,"$53,573,000"
Class B Certificate Rate,,2.50% per year
Controlled Accumulation Amount (subject to adjustment),,"$108,631,083.33"
Approximate Commencement of Controlled Accumulation Period (subject to adjustment),,"March 1, 2024"
Annual Servicing Fee Percentage,,2.0% per year
Collateral Initial Invested Amount,,"$125,001,000"
Enhancement for the Class A and Class B Certificates,,Collateral Invested Amount
Other enhancement for the Class A Certificates,,Subordination of the Class B Certificates
Expected Final Payment Date,,March 2025 Distribution Date
Series Issuance Date,,"March 18, 2022"
Principal Sharing Series,,Yes
Excess Allocation Series,,Yes
Group,,Group I
