0,1,2,3,4,5,6,7,8
,,Principal  Amount(1),Principal  Amount(1),,,Principal  Amount(2),Principal  Amount(2),
Class A-1 notes,,$,275000000.00,,,$,330000000.00,
Class A-2a notes  Class A-2b notes,,},454170000.00,,,},545000000.00,
Class A-3 notes,,,454170000.00,,,,545000000.00,
Class A-4 notes,,,66660000.00,,,,80000000.00,
Class B notes,,,39480000.00,,,,47370000.00,
Class C notes,,,26310000.00,,,,31570000.00,
Residual Interest — Initial Overcollateralization,,,91501450.52,,,,109855240.91,
Subtotal —  Initial Pool Balance,,$,1407291450.52,,,$,1688795240.91,
Reserve Account,,,3289497.56,,,,3947369.66,
Total,,$,1410580948.08,,,$,1692742610.57,
