0,1,2,3,4,5,6,7
Comparable Industrial Leases(1),Comparable Industrial Leases(1),Comparable Industrial Leases(1),Comparable Industrial Leases(1),Comparable Industrial Leases(1),Comparable Industrial Leases(1),Comparable Industrial Leases(1),Comparable Industrial Leases(1)
Property Name/Location,Year Built/ Renovated,Total GLA (SF),Major Tenant,Tenant Size (SF),Lease Start Date,Lease Term (years),Annual Base Rent PSF
"Watertown Property(2)  Watertown, SD","2004, 2011, 2018 / 2020",183345,"Dakota Bodies, LLC",183345,December-20,15.1,$4.68
"Thermotech Facility  Sauk Rapids, MN",1977 / 1993,194911,Thermo-Tech Windows LLC,191209,October-24,16.8,$4.15
"Phillips Manufacturing  Omaha, NE",2003 / NAP,162677,Phillips Manufacturing Co.,162677,April-19,15.0,$4.62
"EIMCo  Farley, IA",1994 / NAP,123042,EIMCo,123042,April-20,5.0,$4.29
"Nortech Systems  Mankato, MN",1994 / NAP,58768,Nortech Systems Inc.,58768,August-20,15.0,$5.51
"TPI Composites  Newton, IA",2008 / NAP,337960,TPI Composites,337960,February-23,10.0,$4.90
"Altor Solutions  Fort Madison, IA",2001 / NAP,113400,Foam Fabricators/Altor,113400,May-25,11.8,$4.32
"Applegate Greenfiber  Norfolk, NE",1994 / 2006,104930,Applegate Greenfiber,104930,December-23,20.0,$4.67
"Watertown Development Company Lot 1  Watertown, SD",2024 / NAP,57715,North Star Logistics,57715,January-24,5.0,$8.85
