0,1,2,3,4,5,6,7,8
,,Yield Supplement  Overcollateralization Amount ($),Yield Supplement  Overcollateralization Amount ($),Yield Supplement  Overcollateralization Amount ($),Yield Supplement  Overcollateralization Amount ($),Yield Supplement  Overcollateralization Amount ($),Yield Supplement  Overcollateralization Amount ($),
Payment Date,,9.25% Required Rate,9.25% Required Rate,,,9.00% Required Rate,9.00% Required Rate,
April 2028,,$,13490998.77,,,$,12323009.69,
May 2028,,$,12553242.50,,,$,11462780.33,
June 2028,,$,11650829.91,,,$,10635302.73,
July 2028,,$,10784181.69,,,$,9840955.93,
August 2028,,$,9953393.18,,,$,9079810.55,
September 2028,,$,9157698.55,,,$,8351118.65,
October 2028,,$,8396287.46,,,$,7654087.57,
November 2028,,$,7668824.40,,,$,6988380.36,
December 2028,,$,6975355.26,,,$,6354021.07,
January 2029,,$,6315600.99,,,$,5750728.12,
February 2029,,$,5689937.05,,,$,5178837.04,
March 2029,,$,5098780.60,,,$,4638723.23,
April 2029,,$,4542557.00,,,$,4130769.19,
May 2029,,$,4021683.80,,,$,3655350.00,
June 2029,,$,3536588.11,,,$,3212849.40,
July 2029,,$,3087657.67,,,$,2803613.95,
August 2029,,$,2674811.15,,,$,2427550.47,
September 2029,,$,2296015.57,,,$,2082731.05,
October 2029,,$,1949140.73,,,$,1767132.32,
November 2029,,$,1632943.93,,,$,1479575.55,
December 2029,,$,1346531.66,,,$,1219223.84,
January 2030,,$,1088374.02,,,$,984651.41,
February 2030,,$,858306.04,,,$,775703.46,
March 2030,,$,656486.10,,,$,592519.03,
April 2030,,$,482941.94,,,$,435120.27,
May 2030,,$,337986.81,,,$,303787.28,
June 2030,,$,221958.42,,,$,198821.21,
July 2030,,$,135115.62,,,$,120450.40,
August 2030,,$,76508.52,,,$,67789.38,
September 2030,,$,40217.19,,,$,35388.45,
October 2030,,$,18969.22,,,$,16554.22,
November 2030,,$,7720.92,,,$,6656.41,
December 2030,,$,3224.29,,,$,2766.05,
January 2031,,$,1113.97,,,$,956.30,
February 2031,,$,186.42,,,$,162.29,
March 2031,,$,14.18,,,$,12.43,
April 2031 and thereafter,,$,0.00,,,$,0.00,
