0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
,,,,,,,,,,,,,,,,,,
,,,,Net Loss Statistics,Net Loss Statistics,Net Loss Statistics,Net Loss Statistics,Net Loss Statistics,Net Loss Statistics,Net Loss Statistics,Net Loss Statistics,Net Loss Statistics,Net Loss Statistics,Net Loss Statistics,Net Loss Statistics,Net Loss Statistics,Net Loss Statistics,
,,,,Total for Month,Total for Month,Total for Month,Total for Month,Total for Month,Total for Month,,,Cumulative,Cumulative,Cumulative,Cumulative,Cumulative,Cumulative,
Month,,Prepayment Speeds,,$,$,,,%,%,,,$,$,,,%,%,
Nov-22,,1.07,,,5924.27,,,,0.000576,%,,,5924.27,,,,0.000576,%
Dec-22,,1.24,,,28064.72,,,,0.002727,%,,,33988.99,,,,0.003303,%
Jan-23,,1.15,,,76032.82,,,,0.007389,%,,,110021.81,,,,0.010692,%
Feb-23,,1.05,,,148657.85,,,,0.014447,%,,,258679.66,,,,0.025140,%
Mar-23,,1.24,,,288971.47,,,,0.028084,%,,,547651.13,,,,0.053223,%
Apr-23,,1.12,,,284128.03,,,,0.027613,%,,,831779.16,,,,0.080836,%
May-23,,1.21,,,204872.00,,,,0.019910,%,,,1036651.16,,,,0.100747,%
Jun-23,,1.14,,,281761.38,,,,0.027383,%,,,1318412.54,,,,0.128129,%
Jul-23,,1.09,,,177265.16,,,,0.017227,%,,,1495677.70,,,,0.145357,%
Aug-23,,1.17,,,309897.47,,,,0.030117,%,,,1805575.17,,,,0.175474,%
Sep-23,,1.03,,,324606.88,,,,0.031547,%,,,2130182.05,,,,0.207021,%
Oct-23,,1.14,,,332021.55,,,,0.032267,%,,,2462203.60,,,,0.239288,%
Nov-23,,0.99,,,347300.90,,,,0.033752,%,,,2809504.50,,,,0.273041,%
Dec-23,,0.98,,,311169.31,,,,0.030241,%,,,3120673.81,,,,0.303282,%
Jan-24,,1.04,,,342482.49,,,,0.033284,%,,,3463156.30,,,,0.336566,%
Feb-24,,1.04,,,452436.01,,,,0.043970,%,,,3915592.31,,,,0.380536,%
Mar-24,,1.05,,,154377.03,,,,0.015003,%,,,4069969.34,,,,0.395539,%
Apr-24,,1.10,,,323405.35,,,,0.031430,%,,,4393374.69,,,,0.426969,%
May-24,,1.14,,,199495.29,,,,0.019388,%,,,4592869.98,,,,0.446357,%
Jun-24,,0.97,,,353208.93,,,,0.034326,%,,,4946078.91,,,,0.480683,%
Jul-24,,1.08,,,92782.48,,,,0.009017,%,,,5038861.39,,,,0.489700,%
Aug-24,,1.12,,,243055.79,,,,0.023621,%,,,5281917.18,,,,0.513321,%
