0,1,2,3,4,5,6,7,8
Mortgage  Loan Name,Mortgage  Loan Cut-off Date Balance,% of Initial  Pool Balance,Pari Passu  Companion Loan Cut-off Date Balance,Subordinate  Companion Loan Cut-off Date Balance,Mortgage  Loan  Cut-off Date LTV Ratio(2),Whole Loan  Cut-off Date LTV Ratio(3),Mortgage  Loan Underwritten NCF DSCR(2),Whole Loan  Underwritten NCF DSCR(3)
NOVA Retail 2-Pack,"$58,000,000",9.9%,"$107,000,000",NAP,70.3%,70.3%,1.39x,1.39x
Marriott Anchorage Downtown,"$57,932,483",9.9%,"$66,922,006",NAP,57.5%,57.5%,1.77x,1.77x
Sheraton Denver Downtown Hotel,"$55,000,000",9.4%,"$125,000,000",NAP,76.6%,76.6%,1.29x,1.29x
50 West 23rd Street,"$53,000,000",9.0%,"$30,000,000",NAP,39.9%,39.9%,2.18x,2.18x
U-Haul AREC RW Portfolio,"$34,733,694",5.9%,"$68,474,997",NAP,51.8%,51.8%,1.40x,1.40x
255 Greenwich,"$27,000,000",4.6%,"$120,000,000",NAP,52.5%,52.5%,1.90x,1.90x
Ellenton Premium Outlets,"$18,000,000",3.1%,"$102,000,000",NAP,60.6%,60.6%,2.31x,2.31x
Brandywine Regency Warehouse & Distribution Center,"$15,918,416",2.7%,"$59,694,060",NAP,54.7%,54.7%,1.27x,1.27x
Birch Run Premium Outlets,"$15,000,000",2.6%,"$75,000,000",NAP,56.7%,56.7%,1.92x,1.92x
Houston Multifamily Portfolio,"$11,000,000",1.9%,"$25,000,000",NAP,65.6%,65.6%,1.33x,1.33x
Landstown Commons,"$10,000,000",1.7%,"$63,400,000",NAP,69.8%,69.8%,1.58x,1.58x
"Park Center Plaza I, II, III","$6,959,368",1.2%,"$24,854,886",NAP,52.0%,52.0%,1.66x,1.66x
