0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Distribution Date,,0.00%,0.00%,,,0.50%,0.50%,,,0.90%,0.90%,,,1.10%,1.10%,,,1.30%,1.30%,,,1.50%,1.50%,,,1.80%,1.80%,
Closing Date,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%
10/15/24,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%
11/15/24,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%
12/15/24,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,88.23,%
01/15/25,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,98.88,%,,,74.09,%
02/15/25,,,100.00,%,,,100.00,%,,,100.00,%,,,100.00,%,,,96.44,%,,,85.06,%,,,60.51,%
03/15/25,,,100.00,%,,,100.00,%,,,100.00,%,,,93.18,%,,,84.34,%,,,71.78,%,,,47.88,%
04/15/25,,,100.00,%,,,100.00,%,,,90.18,%,,,82.23,%,,,72.57,%,,,59.04,%,,,36.09,%
05/15/25,,,100.00,%,,,94.51,%,,,80.11,%,,,71.51,%,,,61.14,%,,,46.85,%,,,24.60,%
06/15/25,,,100.00,%,,,85.65,%,,,70.18,%,,,61.01,%,,,50.06,%,,,35.20,%,,,13.42,%
07/15/25,,,94.26,%,,,76.84,%,,,60.39,%,,,50.73,%,,,39.31,%,,,24.18,%,,,2.65,%
08/15/25,,,86.52,%,,,68.06,%,,,50.76,%,,,40.68,%,,,28.91,%,,,13.93,%,,,0.00,%
09/15/25,,,78.73,%,,,59.32,%,,,41.28,%,,,30.87,%,,,18.86,%,,,4.30,%,,,0.00,%
10/15/25,,,70.88,%,,,50.63,%,,,31.94,%,,,21.29,%,,,9.16,%,,,0.00,%,,,0.00,%
11/15/25,,,62.97,%,,,41.97,%,,,22.77,%,,,11.94,%,,,0.00,%,,,0.00,%,,,0.00,%
12/15/25,,,55.01,%,,,33.36,%,,,13.74,%,,,2.83,%,,,0.00,%,,,0.00,%,,,0.00,%
01/15/26,,,48.23,%,,,25.88,%,,,5.75,%,,,0.00,%,,,0.00,%,,,0.00,%,,,0.00,%
02/15/26,,,42.53,%,,,19.43,%,,,0.00,%,,,0.00,%,,,0.00,%,,,0.00,%,,,0.00,%
03/15/26,,,36.79,%,,,13.00,%,,,0.00,%,,,0.00,%,,,0.00,%,,,0.00,%,,,0.00,%
04/15/26,,,31.01,%,,,6.60,%,,,0.00,%,,,0.00,%,,,0.00,%,,,0.00,%,,,0.00,%
05/15/26,,,25.18,%,,,0.21,%,,,0.00,%,,,0.00,%,,,0.00,%,,,0.00,%,,,0.00,%
06/15/26,,,19.30,%,,,0.00,%,,,0.00,%,,,0.00,%,,,0.00,%,,,0.00,%,,,0.00,%
07/15/26,,,13.38,%,,,0.00,%,,,0.00,%,,,0.00,%,,,0.00,%,,,0.00,%,,,0.00,%
08/15/26,,,7.41,%,,,0.00,%,,,0.00,%,,,0.00,%,,,0.00,%,,,0.00,%,,,0.00,%
09/15/26,,,1.40,%,,,0.00,%,,,0.00,%,,,0.00,%,,,0.00,%,,,0.00,%,,,0.00,%
10/15/26,,,0.00,%,,,0.00,%,,,0.00,%,,,0.00,%,,,0.00,%,,,0.00,%,,,0.00,%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weighted Average Life (Years) to Call,,,1.36,,,,1.11,,,,0.94,,,,0.86,,,,0.77,,,,0.67,,,,0.51,
Weighted Average Life (Years) to Maturity,,,1.36,,,,1.11,,,,0.94,,,,0.86,,,,0.77,,,,0.67,,,,0.51,
