0,1,2,3,4,5,6,7,8
,,Yield  Supplement  Overcollateralization Amount ($),Yield  Supplement  Overcollateralization Amount ($),Yield  Supplement  Overcollateralization Amount ($),Yield  Supplement  Overcollateralization Amount ($),Yield  Supplement  Overcollateralization Amount ($),Yield  Supplement  Overcollateralization Amount ($),
Payment Date,,9.10% Required  Rate,9.10% Required  Rate,,,8.85% Required  Rate,8.85% Required  Rate,
Closing Date,,$,66978742.79,,,$,62067516.03,
September 2025,,$,63515590.94,,,$,58832041.63,
October 2025,,$,61480387.65,,,$,56931695.01,
November 2025,,$,59486790.54,,,$,55070946.92,
December 2025,,$,57533852.92,,,$,53248860.44,
January 2026,,$,55619799.19,,,$,51463698.62,
February 2026,,$,53743391.82,,,$,49714246.93,
March 2026,,$,51904379.06,,,$,48000243.69,
April 2026,,$,50102931.22,,,$,46321834.53,
May 2026,,$,48339358.72,,,$,44679300.06,
June 2026,,$,46613968.74,,,$,43072918.36,
July 2026,,$,44927091.46,,,$,41502989.65,
August 2026,,$,43279115.15,,,$,39969868.88,
September 2026,,$,41670452.13,,,$,38473934.33,
October 2026,,$,40101472.41,,,$,37015522.75,
November 2026,,$,38572121.73,,,$,35594564.83,
December 2026,,$,37081282.84,,,$,34209975.51,
January 2027,,$,35627378.33,,,$,32860229.89,
February 2027,,$,34208494.04,,,$,31543486.50,
March 2027,,$,32822869.37,,,$,30258060.89,
April 2027,,$,31468673.95,,,$,29002211.67,
May 2027,,$,30144291.57,,,$,27774403.22,
June 2027,,$,28849060.63,,,$,26573998.97,
July 2027,,$,27582813.63,,,$,25400829.58,
August 2027,,$,26345493.61,,,$,24254829.31,
September 2027,,$,25137289.73,,,$,23136165.96,
October 2027,,$,23958499.55,,,$,22045110.88,
November 2027,,$,22809400.82,,,$,20981915.99,
December 2027,,$,21690338.30,,,$,19946895.97,
January 2028,,$,20601667.31,,,$,18940374.42,
February 2028,,$,19543757.01,,,$,17962687.88,
March 2028,,$,18516973.20,,,$,17014169.37,
April 2028,,$,17521617.90,,,$,16095090.98,
May 2028,,$,16557247.99,,,$,15205013.03,
June 2028,,$,15622259.72,,,$,14342388.14,
July 2028,,$,14714740.14,,,$,13505376.36,
August 2028,,$,13833672.21,,,$,12692994.70,
September 2028,,$,12979294.94,,,$,11905455.62,
October 2028,,$,12151935.60,,,$,11143055.33,
